City_ID,city,lat,lng,max_temp,humidity,cloudiness,speed,country,date
253,urgut,67.2431,39.4022,26.22,59,100,4.65,UZ,1672682362
254,safaga,33.9365,26.7292,67.14,70,0,6.04,EG,1672682362
255,tocopilla,-70.1979,-22.092,72.55,71,87,10.49,CL,1672682363
256,lorengau,147.2712,-2.0226,81.5,81,90,11.1,PG,1672682363
257,aripuana,-60.6333,-9.1667,76.35,91,92,3.33,BR,1672682364
258,trincomalee,81.2335,8.5711,78.87,68,99,13.06,LK,1672682248
259,barillas,-91.3158,15.8036,74.14,52,44,4.81,GT,1672682365
260,marechal deodoro,-35.895,-9.7103,87.21,68,97,10.54,BR,1672682365
261,meulaboh,96.1285,4.1363,75.06,89,82,3.51,ID,1672682366
262,acapulco,-99.8901,16.8634,82.31,58,70,5.88,MX,1672682339
263,great yarmouth,1.7305,52.6083,41.45,85,44,9.06,GB,1672682367
264,wladyslawowo,18.4009,54.7909,54.95,76,100,21.41,PL,1672682367
265,cabo san lucas,-109.9124,22.8909,77.61,59,17,1.7,MX,1672682331
266,sumbe,13.8437,-11.2061,77.36,82,100,2.21,AO,1672682368
267,saint-augustin,-58.6502,51.226,27.39,91,94,4.38,CA,1672682368
268,nabire,135.4833,-3.3667,76.44,87,100,3.06,ID,1672682369
269,bourail,165.4833,-21.5667,72.3,89,11,4.09,NC,1672682369
270,zhigansk,123.3711,66.7697,-29.79,98,89,10.83,RU,1672682370
271,ballina,153.5667,-28.8667,63.01,99,30,6.04,AU,1672682370
272,georgetown,100.3354,5.4112,80.53,85,20,5.75,MY,1672682141
273,balkanabat,54.3671,39.5108,44.96,76,5,4.03,TM,1672682371
274,moanda,13.2178,-1.5575,73.89,83,75,3.31,GA,1672682371
275,fort nelson,-122.7002,58.8053,8.94,93,75,2.3,CA,1672682276
276,sol-iletsk,54.9918,51.1631,30.7,84,100,25.81,RU,1672682372
277,kodinsk,99.1844,58.6881,1.69,98,100,3.94,RU,1672682373
278,ginda,78.4932,30.6945,37.6,43,31,5.75,IN,1672682373
279,puerto baquerizo moreno,-89.6,-0.9,79.79,69,20,19.57,EC,1672682373
280,hollola,25.4333,61.05,25.86,92,98,5.03,FI,1672682374
281,opuwo,13.84,-18.0607,72.91,62,95,19.3,NA,1672682374
282,meadow lake,-106.5436,34.8014,40.35,67,93,11.81,US,1672682375
283,lahij,44.5833,13.1667,71.89,78,84,9.66,YE,1672682375
284,gushi,109.5843,34.6425,35.17,42,39,1.86,CN,1672682376
285,lavrentiya,-171.0,65.5833,-11.34,91,31,9.82,RU,1672682376
286,desaguadero,-69.0417,-16.5656,56.82,50,81,10.87,PE,1672682378
287,nuevitas,-77.2644,21.5453,83.03,58,72,13.73,CU,1672682378
288,mogadishu,45.3438,2.0371,79.18,78,10,21.7,SO,1672682379
289,dowa,33.9375,-13.654,63.72,92,93,2.82,MW,1672682379
290,yar-sale,70.8333,66.8333,-6.83,99,100,17.11,RU,1672682380
291,brae,-1.353,60.3964,39.06,83,100,0.27,GB,1672682380
292,boa vista,-60.6733,2.8197,89.58,51,40,11.5,BR,1672682380
293,mwadui,33.6,-3.55,72.99,44,32,4.45,TZ,1672682381
294,vardo,31.1107,70.3705,30.18,74,75,20.71,NO,1672682381
295,apastepeque,-88.7833,13.6667,83.26,38,4,1.83,SV,1672682382
296,tandil,-59.1332,-37.3217,78.69,24,0,10.31,AR,1672682382
297,the valley,-63.0578,18.217,84.06,69,40,12.66,AI,1672682383
298,creel,-107.6333,27.75,46.47,55,55,27.49,MX,1672682383
